Team1,tnam1qpzyy3jypd9u3wxuec2utqyuu55tawjghs6ehzxn,,0,Team
Team2,tnam1qrj49jcdenyg8r3mha8yn3zws8ykhysf85rldctj,,0,Team
Faucet,tnam1qz4u7j7dkxj5wv9xuwy2qemaeeqd450ysgl7pq0r,,0,Team
CroutonDigital,tnam1qq6lxympuusdqrn7lnva7htzemrlsq2kkqyaxc0q,tpknam1qqjzwxrku9pv8vtz0x2y578ytj58cwc55ughh7qlj3rwekye2lz2y30dua2,72128557529,Pilot
Citadel.one,tnam1qppefdpha0rwtf4qsuyvxmnnnvjvgz84yvf2nz0m,tpknam1qzrpa8ja8pzshx7d99xjngzwcxy9e3cyfp7n7pmugnh3tjkul73pj0eu26h,12593253925,Pilot
spidey,tnam1qzufnlr9arahv607a7607xyq28xcjq8zd5x8lnyw,tpknam1qpr9k2cus3suzqa0vfy5xasd96ayerk33rryn8qw5mtt2n6fw05a7997t90,10616861571,Pilot
anodeofzen,tnam1qq22qmw72m3e6c8lajx8jmzzh2h4t3dp7cfs4dxf,tpknam1qz36mzdvdmxvvcpv3c36zzs5v369jauws0tzrxesuaexy0p25r5sy0jsuac,10557747646,Pilot
Validatorade,tnam1qzdfys6q5nngrcvlw9kf7ykk90ds62ap3yuhcusx,tpknam1qpayc0rxtuulknrvygcwvlhehuw2tvmxhvhxmjm8s43hxj3vdxjlv62jzcq,10440974026,Pilot
Lankou,tnam1qp6fw8q274w8mpttl52fgthz20feue0jg5xmpprh,tpknam1qp657jtd7tzkadzua0wqr6f5cewrlrah08fn7ny92vcfjuh3lcehvnspw8y,9324902598,Pilot
Stake&Relax 🦥 ,tnam1qzrtckg88nqfqdusg5x6g2pfs0wqawelhsxnp5u6,tpknam1qrfdawuufjn07vdq2exy6h5djfsel8254452avz6auxdw9y7r3kpcdz7zcz,8609125130,Pilot
CryptoSJnet,tnam1qzm0yt3e7gdmcf65jmxkstwm6ngv7cpprv8tqd6j,tpknam1qr37yj7d9al5yerzn68kn7gtttfh25fqk45wwwvmt8snwgp5zwrzvjfujne,7850000383,Pilot
pro-nodes75,tnam1qzxn6ed2u0crkhjvzgv3hc4vmcneknc6m5g2r94g,tpknam1qqayhk7yx0mmyut4hge7jyk93m2djmk7pkeh0u4apvzzwsuc5qe0x6ktq3z,7595671570,Pilot
StakeUp,tnam1qra7z5s3r95c8qctcx8zhavxj5k5xmczd5f8dez4,tpknam1qp2ypn3tsg69ql5cv29358grnwjda3f6vuc7gwzn2jzmp3gapssesrw2et5,7576794375,Pilot
